start,end,text
46.24,47.2,advice
48.48,48.64,So
48.72,49.2,I
49.2,49.6,handed
49.6,50.08,him
50.08,50.48,my
50.56,50.88,bottle
51.6,51.84,and
51.84,51.84,he
51.92,52.32,drank
52.32,52.64,down
52.64,52.96,my
52.96,53.36,last
53.36,54.0,swallow
54.96,54.96,Then
55.12,55.28,he
55.28,55.68,bummed
55.68,55.76,a
55.76,56.4,cigarette
56.4,56.72,and
57.36,57.68,asked
57.68,57.76,me
58.0,58.4,for
58.4,58.4,a
58.56,58.72,light
58.8,58.88,And
59.92,60.0,the
60.0,60.4,night
60.4,60.56,got
60.72,61.12,deathly
61.2,61.52,quiet
61.52,61.52,and
62.56,62.72,his
62.72,63.12,face
63.12,63.52,lost
63.52,63.84,all
63.84,64.48,expression
64.96,65.12,Said
65.12,65.44,If
65.44,65.44,you're
65.52,65.84,gonna
66.0,66.4,play
66.4,66.48,the
66.48,67.04,game
67.04,67.2,boy
67.68,67.76,you
67.76,68.16,gotta
68.16,68.56,learn
68.56,68.56,to
68.72,69.12,play
69.12,69.12,it
69.36,69.52,right
70.24,70.32,You
70.32,70.64,got
70.64,70.64,to
70.88,70.96,know
71.6,71.68,when
71.68,71.68,to
72.08,72.08,hold
73.92,74.24,know
74.32,74.56,when
74.56,75.28,to
75.28,75.28,fold
75.28,75.36,up
75.6,76.96,know
76.96,77.44,when
77.44,77.44,to
77.44,77.44,walk
77.44,77.44,away
77.44,77.44,and
77.44,77.44,know
77.44,78.4,when
78.4,78.4,to
78.4,78.72,run
81.04,81.04,You
81.28,81.36,never
81.36,81.36,count
81.36,81.36,your
81.36,81.36,money
81.36,81.44,when
82.16,82.16,you're
82.32,82.48,sitting
82.64,82.8,at
82.8,82.8,the
86.64,86.64,table
86.64,86.88,There'll
86.88,87.68,be
87.68,87.68,time
87.68,88.08,enough
88.24,88.24,for
88.4,89.44,counting
89.44,89.44,when
89.44,89.44,the
89.44,89.44,dealing's
89.44,89.68,done
89.68,89.68,Every
89.68,89.68,gambler
89.68,89.68,knows
89.92,90.16,that
90.4,90.64,the
90.64,90.64,secret
90.64,90.64,to
90.64,90.64,surviving
90.64,91.44,is
91.44,91.44,knowing
91.44,91.44,what
91.44,91.44,to
91.44,93.52,throw
93.52,93.52,away
93.68,93.68,knowing
93.68,93.68,what
93.68,93.68,to
93.68,93.84,keep
93.84,94.24,'Cause
94.72,94.72,every
94.72,94.8,hand's
94.8,94.96,a
94.96,94.96,winner
94.96,94.96,and
94.96,94.96,every
96.24,96.24,hand's
96.24,96.24,a
96.32,96.32,loser
96.48,96.48,and
96.48,96.48,the
104.88,104.96,best
105.392,105.824,that
106.256,106.688,you
107.12,107.12,can
107.12,107.28,hope
108.256,109.232,for
110.208,111.184,is
112.16,112.32,to
112.32,116.0,die
116.0,116.0,in
116.0,116.0,your
116.0,116.0,sleep
116.0,116.0,And
116.0,116.0,when
116.0,116.0,he
116.0,116.0,finished
116.0,116.0,speaking
116.0,116.0,he
116.0,116.0,turned
116.0,116.0,back
116.0,116.0,toward
116.0,116.0,the
116.0,116.0,window
116.0,116.0,crushed
116.0,116.0,out
116.0,116.0,his
116.0,116.0,cigarette
116.0,116.0,faded
116.0,116.0,off
116.0,116.0,to
116.0,116.0,sleep
116.0,116.0,And
116.0,116.0,somewhere
116.0,116.0,in
116.0,116.0,the
116.0,116.0,darkness
116.0,116.0,the
116.0,116.0,gambler
116.0,116.0,he
116.0,116.0,broke
116.0,116.0,even
116.0,116.0,But
116.0,116.0,in
116.0,116.0,his
116.0,116.0,final
116.0,116.0,words
116.0,116.0,I
116.0,116.0,found
116.0,116.0,an
116.0,116.0,ace
116.0,116.0,that
116.0,116.0,I
116.0,116.0,could
116.0,116.0,keep
116.0,118.08,You
118.08,118.08,got
118.08,118.08,to
118.08,118.08,know
118.08,118.08,when
118.08,118.08,to
118.08,118.08,hold
118.08,118.394,know
118.708,119.022,when
119.336,119.65,to
119.964,120.278,fold
120.592,120.906,up
121.22,121.534,know
121.848,122.162,when
122.477,122.791,to
123.105,123.419,walk
123.733,124.047,away
124.361,124.675,and
124.989,125.303,know
125.617,125.931,when
126.245,126.56,to
126.56,126.56,run
126.56,128.64,You
128.64,129.84,never
130.0,130.72,count
130.72,130.72,your
130.72,130.72,money
130.72,130.72,when
130.72,130.72,you're
130.72,130.994,sitting
131.268,131.542,at
131.817,132.091,the
132.365,132.64,table
132.96,132.96,There'll
133.28,135.44,be
135.44,135.44,time
135.44,135.44,enough
135.44,135.44,for
135.44,135.44,counting
135.44,135.44,when
135.44,135.44,the
135.44,135.44,dealing's
137.92,137.92,done
137.92,137.92,You
137.92,138.16,got
138.16,138.16,to
138.24,138.48,know
138.48,138.56,when
138.56,138.56,to
138.56,138.56,hold
139.36,139.36,know
139.36,139.6,when
139.6,140.64,to
140.72,140.72,fold
140.72,140.72,up
140.72,142.72,know
142.72,142.72,when
143.12,143.12,to
143.12,143.12,walk
143.12,143.12,away
143.12,143.12,and
143.12,143.12,know
143.12,143.12,when
143.12,143.12,to
143.12,143.12,run
143.12,143.12,You
143.12,143.12,never
143.12,144.08,count
144.08,148.8,your
152.96,152.96,money
152.96,152.96,when
152.96,152.96,you're
152.96,152.96,sitting
152.96,152.96,at
152.96,152.96,the
152.96,153.92,table
178.88,178.88,There'll
179.2,179.2,be
179.2,179.2,time
179.2,179.2,enough
179.2,179.2,for
179.2,179.2,counting
182.649,182.889,When
182.889,182.969,the
182.969,183.689,dealing's
183.689,184.089,done
184.329,184.489,you
184.489,184.809,got
184.809,184.809,to
185.049,185.129,know
185.129,186.089,when
186.089,186.169,to
186.249,186.649,hold
186.649,186.649,'em
188.089,188.409,know
188.409,188.809,when
188.809,188.889,to
188.969,189.529,fold
189.529,189.849,'em
190.889,191.129,know
191.129,191.529,when
191.609,191.609,to
191.769,192.249,walk
192.409,192.569,away
193.529,193.609,and
193.609,193.769,know
193.769,193.929,when
194.329,194.329,to
194.489,194.649,run
195.289,195.449,You
195.449,195.449,never
196.009,196.729,count
196.729,196.809,your
197.369,197.689,money
197.689,197.689,when
198.569,198.649,you're
198.649,199.449,sitting
199.449,199.689,at
199.929,200.409,the
200.409,200.489,table
200.809,201.049,There'll
201.129,201.289,be
201.529,201.849,time
201.849,202.489,enough
202.649,203.209,for
203.209,203.289,counting
204.569,204.729,when
204.729,204.889,the
204.889,205.209,deal
205.209,205.449,is
205.449,205.529,done
